
Join on the column named 3
/home/18643_team/edwin_stuff/18643_project/tables/out_less_32_unique.txt xdim: 1, ydim: 51
TABLE 1
====================
        3 
====================
776123796 
168210540 
155409623 
685948342 
1973269333 
151692331 
1447086805 
 78671411 
223036787 
728598066 
 33806622 
141893427 
355208215 
114801433 
690881198 
138731820 
1795050929 
212741261 
296738292 
1594394213 
168006172 
1999742507 
175834199 
106555121 
246272594 
161026556 
171404862 
 13702724 
2137571946 
441866189 
1346898367 
190175089 
1041921086 
577894690 
170648106 
130143451 
 95119067 
1019601434 
259021192 
103857286 
1953263012 
1910089197 
257438331 
361021573 
 51881900 
154967864 
 19651323 
181293971 
1546632627 
2064477206 

/home/18643_team/edwin_stuff/18643_project/tables/out_less_32.txt xdim: 8, ydim: 101
TABLE 2
====================
        1         2         3         4         5         6         7         8 
====================
 87684164 115000662 223036787 232774898 126887577   8579766 171371596 192193653 
166709011 115000662 223036787  55640854 112749351 151270997 204763020 225830867 
176883333  61982416 170648106  91043044 116700769  99620502  35686096 219610111 
176478734 210375873 130143451 263660942 139623049  91015052 178424138 173758590 
196144278 210375873 171404862 260113239 241344422 133845607  18204486 256816438 
150984898 200144036 257438331 214348156  78784375 110551496 257441831  59947895 
136058311 115000662  33806622 166183253 135362666 142019900 129975926  62222319 
 90170472  61982416 151692331 236807220  64558329 106358258  34371927 172279827 
 93339524  61982416  51881900 174535721 112532803  99620502 107497488  56199476 
172892601  54473832 106555121  34863624 119465050 110479172 117084152 179501723 
221591604 200144036 168006172  54611443  72136496 149597669  39569677  38533365 
 65958155 210375873 190175089  75671957 192566919 192002551 134445548  66901693 
257711061  54473832  19651323 197271220 112749351  51757354  92703088 142733226 
 87254569 115000662 223036787 260207037  94247280  13269043 172864743  61846400 
 59533090 115000662  13702724 154699671 135362666 151270997  92027270 102548786 
241804232 210375873 171404862  47528952 222770659  97020536 204453249 210707923 
 45911486  61982416  51881900 174443320 186117997  23488070 126885981 119525842 
147295481 115000662  33806622 174535721 120878539  51757354 110585079 144361628 
 53084692 200144036 141893427 260428728 208616133 149597669 133241465  86447384 
 52518300 115000662 161026556 138323186 159387837 110551496 202746874 191878543 
123850114 210375873 190175089 137821327 246539070 110551496  39706059  94853851 
179364892  61982416  51881900  29589141 155193115 106358258 218220414   3225785 
 61744238 210375873 168210540 218924135 120878539 220447392 211037588 163282652 
 35643465  54473832 181293971 237006135 257729423 202239615 218233929 216084915 
 92413813  54473832  19651323 198386746  81818632  56190251 237065333 259802557 
145102275 210375873 171404862 133181507 237619649  19052129  71599693  56848009 
 86268454 115000662  78671411 163118918 257729423 135702231 199570128 242838620 
142028239  61982416 151692331 166183253 155193115   8579766 165451027 114484772 
257803548 210375873 190175089 225742514 126887577 106358258 104202120 216792248 
 75425645  61982416 170648106  39881608  72496448  23488070 224772266 132791532 
 88778238  54473832 212741261 122316367  77876673 224187687  33720216 139955280 
103608435  61982416 170648106  13658003 246539070 151270997  58413393 107782418 
214000723 200144036 155409623 111497454 186117997 124987550 139069981 218759452 
182678415 115000662 223036787  13362753  46539811  13269043 121508590 252258116 
235925298  61982416  51881900  67605095 139623049  51757354 139209061 188921051 
228149281 200144036 168006172  70878646  81818632 194848274 230926870 232912030 
241438477  61982416 103857286 249401828 159387837  13269043 251827511 265844490 
125839184  61982416  51881900  28485613  83657394 152203662 116030321 229372526 
 21213942  54473832 212741261  26327365  72136496 220447392  62071921   7299904 
248351094 200144036 168006172  18620715 108029724  19052129 185253369  99753253 
149988966 200144036 141893427 221362895 126887577 155689611 173581855 167892573 
 56021816  54473832 181293971 218924135 135362666  23488070  38753002 175890477 
192022924  61982416 151692331 147658551 250794279  99620502 199581587 199605210 
237730836  61982416 103857286  40717314 159387837  40711347 156545497 155156276 
233090090  61982416  51881900 190603582  26575330 267945786 118858192 226646695 
123680853 115000662  33806622 260113239 135362666  99620502 234460882 246477230 
203845502  61982416 103857286 191505203 139623049  51757354  58472835 155015534 
187833417  54473832 212741261 121689166 108029724 192002551 191378504 224332416 
179272836 200144036 257438331 137821327 246539070  91015052  34596913 206508902 
191731132 210375873 190175089 163118918 192566919 181486660 121270825 230991210 
