0 1 2 3 4 5 6 7 8
1 87684164 115000662 223036787 232774898 126887577 8579766 171371596 192193653
2 166709011 115000662 223036787 55640854 112749351 151270997 204763020 225830867
3 176883333 61982416 170648106 91043044 116700769 99620502 35686096 219610111
4 176478734 210375873 130143451 263660942 139623049 91015052 178424138 173758590
5 196144278 210375873 171404862 260113239 241344422 133845607 18204486 256816438
6 150984898 200144036 257438331 214348156 78784375 110551496 257441831 59947895
7 136058311 115000662 33806622 166183253 135362666 142019900 129975926 62222319
8 90170472 61982416 151692331 236807220 64558329 106358258 34371927 172279827
9 93339524 61982416 51881900 174535721 112532803 99620502 107497488 56199476
10 172892601 54473832 106555121 34863624 119465050 110479172 117084152 179501723
11 221591604 200144036 168006172 54611443 72136496 149597669 39569677 38533365
12 65958155 210375873 190175089 75671957 192566919 192002551 134445548 66901693
13 257711061 54473832 19651323 197271220 112749351 51757354 92703088 142733226
14 87254569 115000662 223036787 260207037 94247280 13269043 172864743 61846400
15 59533090 115000662 13702724 154699671 135362666 151270997 92027270 102548786
16 241804232 210375873 171404862 47528952 222770659 97020536 204453249 210707923
17 45911486 61982416 51881900 174443320 186117997 23488070 126885981 119525842
18 147295481 115000662 33806622 174535721 120878539 51757354 110585079 144361628
19 53084692 200144036 141893427 260428728 208616133 149597669 133241465 86447384
20 52518300 115000662 161026556 138323186 159387837 110551496 202746874 191878543
21 123850114 210375873 190175089 137821327 246539070 110551496 39706059 94853851
22 179364892 61982416 51881900 29589141 155193115 106358258 218220414 3225785
23 61744238 210375873 168210540 218924135 120878539 220447392 211037588 163282652
24 35643465 54473832 181293971 237006135 257729423 202239615 218233929 216084915
25 92413813 54473832 19651323 198386746 81818632 56190251 237065333 259802557
26 145102275 210375873 171404862 133181507 237619649 19052129 71599693 56848009
27 86268454 115000662 78671411 163118918 257729423 135702231 199570128 242838620
28 142028239 61982416 151692331 166183253 155193115 8579766 165451027 114484772
29 257803548 210375873 190175089 225742514 126887577 106358258 104202120 216792248
30 75425645 61982416 170648106 39881608 72496448 23488070 224772266 132791532
31 88778238 54473832 212741261 122316367 77876673 224187687 33720216 139955280
32 103608435 61982416 170648106 13658003 246539070 151270997 58413393 107782418
33 214000723 200144036 155409623 111497454 186117997 124987550 139069981 218759452
34 182678415 115000662 223036787 13362753 46539811 13269043 121508590 252258116
35 235925298 61982416 51881900 67605095 139623049 51757354 139209061 188921051
36 228149281 200144036 168006172 70878646 81818632 194848274 230926870 232912030
37 241438477 61982416 103857286 249401828 159387837 13269043 251827511 265844490
38 125839184 61982416 51881900 28485613 83657394 152203662 116030321 229372526
39 21213942 54473832 212741261 26327365 72136496 220447392 62071921 7299904
40 248351094 200144036 168006172 18620715 108029724 19052129 185253369 99753253
41 149988966 200144036 141893427 221362895 126887577 155689611 173581855 167892573
42 56021816 54473832 181293971 218924135 135362666 23488070 38753002 175890477
43 192022924 61982416 151692331 147658551 250794279 99620502 199581587 199605210
44 237730836 61982416 103857286 40717314 159387837 40711347 156545497 155156276
45 233090090 61982416 51881900 190603582 26575330 267945786 118858192 226646695
46 123680853 115000662 33806622 260113239 135362666 99620502 234460882 246477230
47 203845502 61982416 103857286 191505203 139623049 51757354 58472835 155015534
48 187833417 54473832 212741261 121689166 108029724 192002551 191378504 224332416
49 179272836 200144036 257438331 137821327 246539070 91015052 34596913 206508902
50 191731132 210375873 190175089 163118918 192566919 181486660 121270825 230991210
51 77906437 61982416 103857286 70055464 141447188 51757354 233246703 150350871
52 193686884 210375873 168210540 267145341 192566919 99620502 157670362 114951911
53 63915003 200144036 141893427 70055464 237619649 110551496 195653702 20893687
54 240025972 200144036 246272594 233810545 155193115 99620502 199132027 76526038
55 119682303 200144036 141893427 218196376 26575330 110551496 85206387 41467309
56 207327090 115000662 161026556 237006135 257729423 94982009 72726182 227071566
57 131955652 210375873 171404862 255761413 14777772 135702231 16438395 97462332
58 123590168 54473832 212741261 260113239 119465050 11830193 88827381 173777124
59 202503899 54473832 212741261 211718565 222770659 224187687 180953860 249815488
60 5489924 115000662 33806622 76385941 108029724 192002551 228352048 191124101
61 62158692 54473832 106555121 232533711 82613657 94982009 111352151 193568013
62 56383340 210375873 168210540 242876626 12130452 13269043 123554385 258574076
63 24285245 210375873 171404862 54611443 77876673 194848274 245027300 257501319
64 161279035 200144036 246272594 67605095 112749351 194848274 160448322 143133321
65 207322887 54473832 212741261 123340549 81818632 256244483 17699086 73623755
66 198804365 210375873 168210540 246199936 39829735 19052129 35727616 51128958
67 117509263 200144036 246272594 209253630 246539070 94982009 3956801 189277116
68 135452657 115000662 33806622 51561615 77876673 149597669 182644664 100807026
69 53933396 54473832 181293971 37802606 222770659 252013187 141736406 229206120
70 64015862 115000662 33806622 121689166 120878539 11830193 198367853 38762153
71 105458372 210375873 190175089 228757618 100254891 94982009 80488978 229734848
72 82315506 200144036 141893427 130583741 192566919 51757354 94114163 138263536
73 66079035 200144036 246272594 169555235 166805541 94982009 222658948 209360748
74 156607342 54473832 19651323 28485613 192566919 192002551 119637798 41272692
75 89163215 210375873 168210540 232533711 12130452 152203662 26619254 178091333
76 181987595 210375873 130143451 123340549 26575330 133845607 63528108 153660736
77 115688574 54473832 181293971 198386746 66959925 135702231 45863618 211261469
78 252308712 115000662 78671411 260680954 203642374 158789952 102432411 230958858
79 131310789 61982416 103857286 55299661 126219244 56190251 132317799 110039846
80 173636918 61982416 151692331 121540724 94247280 256244483 218728994 160092104
81 72442611 54473832 212741261 257356411 116700769 110551496 193084067 200018880
82 173576413 115000662 13702724 18842906 112532803 149597669 240594517 165750940
83 229603759 115000662 161026556 240671849 51677445 106612650 29515628 118926475
84 244017645 61982416 103857286 260428728 100254891 51757354 177802790 115301309
85 78284808 54473832 19651323 246199936 186117997 224187687 27417471 168113209
86 100916411 61982416 151692331 55230321 128326483 151270997 214997560 102788693
87 154435026 61982416 114801433 258101182 64558329 263777069 188029773 43507310
88 225044681 61982416 151692331 225742514 186117997 19052129 117815679 167581226
89 139242918 54473832 212741261 202022987 126887577 55732356 59279997 248570457
90 139598250 54473832 175834199 260680954 14777772 194848274 81619803 39105323
91 109565023 200144036 246272594 122316367 237619649 8579766 249319350 257425800
92 53917854 200144036 155409623 130583741 166805541 8579766 197188817 165436452
93 254844585 200144036 257438331 163118918 222770659 94982009 105532850 210465443
94 178254427 210375873 168210540 91043044 237619649 252013187 262459774 78117326
95 141644831 210375873 190175089 5635351 124407944 94982009 83602286 209765460
96 216106110 54473832 212741261 121689166 237619649 19052129 122273675 268020795
97 251962047 210375873 190175089 37802606 14777772 183909529 112170464 160152336
98 203450180 54473832 106555121 176641637 126219244 55732356 38565547 100556339
99 234821568 200144036 246272594 174535721 83657394 8579766 42464391 138607797
100 178903326 210375873 190175089 221362895 78784375 224187687 225620754 33224935
101 225516876 210375873 171404862 162945461 100254891 220447392 214355047 21556608
102 110390926 210375873 62325828 255761413 72496448 47427602 268345725 244255794
103 16068933 200144036 168006172 255349367 135362666 94982009 238695020 89790313
104 150619440 115000662 223036787 75671957 124407944 56190251 151772380 62763068
105 149432956 115000662 13702724 24374577 108029724 106358258 217051350 165415935
106 120477069 210375873 62325828 255349367 94247280 94982009 259519379 113196204
107 5239748 54473832 212741261 137821327 112532803 12251392 17180128 74513259
108 77507345 115000662 161026556 260091196 64558329 135702231 7554185 36683847
109 161272757 210375873 190175089 18842906 83657394 11830193 86291898 94973807
110 124609914 210375873 190175089 162023467 39829735 106358258 202930721 225300657
111 229297133 54473832 106555121 226275914 94247280 220447392 79506846 4264665
112 251831702 61982416 51881900 216273108 120878539 194848274 161105340 216763856
113 241471637 210375873 62325828 385406 87423536 110479172 248294922 10163114
114 60570356 54473832 175834199 60299962 64558329 97020536 49133129 152597854
115 248437087 61982416 103857286 264256070 203642374 256244483 182171482 38094060
116 237566597 54473832 212741261 163531552 208616133 40711347 156076792 221845304
117 250454564 115000662 78671411 209253630 192566919 224187687 257179406 268173409
118 104398186 200144036 168006172 39881608 246539070 97020536 180633670 98743094
119 102751506 61982416 51881900 86786166 103069196 99620502 23618402 159257217
120 51918544 115000662 78671411 260428728 135362666 155689611 127927673 31248261
121 20020838 115000662 78671411 218196376 66959925 133845607 106325738 175394976
122 38859172 200144036 246272594 229824821 46539811 106358258 167230787 248545495
123 255578329 115000662 161026556 137821327 246539070 8579766 229822871 213559864
124 50558550 210375873 171404862 51561615 112749351 23488070 130577252 170094621
125 205796559 115000662 161026556 242876626 72496448 267945786 73084603 104732352
126 170609572 61982416 103857286 43151066 78784375 224187687 2261172 113092606
127 34874984 54473832 181293971 232533711 139623049 158789952 109575755 69760168
128 127384470 200144036 155409623 47528952 250794279 142019900 59464704 191060394
129 173771735 115000662 13702724 249401828 257729423 152203662 263973942 65339281
130 9713282 200144036 141893427 35403856 100254891 23488070 258368572 76147263
131 163421774 54473832 181293971 176641637 72136496 91015052 29157050 200536722
132 106310849 61982416 103857286 95977367 222770659 94982009 177603982 85288241
133 265388218 115000662 223036787 190603582 155193115 124987550 232535251 73269375
134 15592286 61982416 170648106 260207037 166805541 133845607 145990557 156012767
135 96543064 200144036 246272594 172788593 203642374 192002551 69727411 229680487
136 153948702 200144036 155409623 69166053 222770659 267945786 135371434 87481503
137 219343371 210375873 62325828 144640000 192566919 97020536 198129104 236990116
138 173552692 115000662 223036787 18620715 120878539 247660392 246688230 234490675
139 166682468 210375873 171404862 153179951 126887577 252013187 151882441 109931603
140 233117360 54473832 212741261 68196258 135362666 252013187 19398745 74058921
141 43564217 210375873 168210540 161538009 87423536 133845607 24223361 44398830
142 193280663 54473832 19651323 176641637 124407944 55732356 131611377 149802935
143 49776665 210375873 130143451 197611443 119465050 110551496 255934956 33539893
144 149716936 115000662 78671411 2046089 100254891 252013187 18319201 218278248
145 66927088 54473832 212741261 127518561 203642374 142019900 229468850 138426347
146 54584906 210375873 130143451 198386746 83657394 263777069 237044895 102620437
147 187210805 115000662 33806622 263993707 55653802 8579766 245638050 265776114
148 67511185 210375873 62325828 68196258 257729423 252013187 6954049 62872713
149 209425428 200144036 257438331 197271220 243231745 135702231 29174164 225409276
150 138511363 210375873 168210540 5635351 116700769 142019900 99940313 258360914
