ROWIDX DESCRIPTION MANUFACTURER BRAND MATERIAL NUM1 PACKAGING NUM2 RANDOM
1 539f4444ea3610c521ae1bae4b3791b87cb73420bb3cbd4f71c4e3b4a2f6ad31 6dac556156cad75f59c2aa225ae4d194b5e7d8126811533892357be74d278e65 d4b4573d6eded53100d26b4e20e5029c7a3a40c4e405eb661c21f36e092970f0 ddfdcf26242334af08edf49eb3015511fedaf354407128b603f8a36bfb3a71c0 7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451 082eab6d08ca36468375e1995af525a607aef482b2b137a799594c02b56fbc4f a36ec4c94344115da037f03daf5ea79a10da7c1643ceeabcd7fe05b791e79146 b74a47519de58a9a929f2f8239d7c2f3e10e90996d2769ed34b7663ba1fafc8b
2 9efc713b76274f1b566c0a69f0556d0a17c9f68347c9b26999dff6742aebb7d3 6dac556156cad75f59c2aa225ae4d194b5e7d8126811533892357be74d278e65 d4b4573d6eded53100d26b4e20e5029c7a3a40c4e405eb661c21f36e092970f0 35103166efa5dc53af185a9ce673aaabde81e582bfdd863abee1b67c0fd080f4 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b 9043655fd17b0d90d2dee3665d82558859e8f359ceb1020220c080391812d4ff c346f8ce383fe9a8f504eadc051bd497119481d30530211a5faee9b961f428ee d75e7d305412cd6db2161f363fa3220e3c5a6f84ae1771f6168f889b8a0083d1
3 a8b06852e3b6f8e693791d1782d4da0bae6e6fb303d7e06858833a5868a3de21 3b1c6d0e931f4cb10de72e86299b92e0c5a1e401a4e816bc5fbe791f7e543aa7 a2be22a8a2f7ad349740d301141b3f2063f61e3aa386b610f08e6972dd8da850 56d34e47b3c8896f12d5e255d83faf0163a92028be00126d77b58cec84f49dca 6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443 5f01696e5bd999549ae13c3217dd935bd998d2043261b812df0eed82f5d3b850 22086d0c51b8f50e119f8f9d96d9d7c60d32cf1dd018de1cf7d0fb302b13fbef d16fbffb4af73916f9036b991bd63c2acc74a7a128c6ce46ff2be2e8d7f46761
4 a84da0eb0df5c757a81e21b44882077fa048f3c508591f5ea9a7d5990241e23e c8a14c17fecaa9d19467fe59b1340b7c042b2c33ac78466bb0cf47cbf5a451c5 7c1d4dbd1618e72b913297607bd01d1023321c0d04b49eb5080092a5152c5345 fb7258eb612a6b5e015df65afcf3aef45f92ce936a3684cab19198b60f4adf1f 8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61 56cc78ceebfe9285aeaf3da8efd826995a95359a260db46238d9f9a5ad8b336b aa2894a7662b43727b8b6eaeeebcd4f400d8e2b508103b2667fe121304da5017 a5b587eafa87ad572cd2bbca12ab83008f2de1a43659ff36753ac6ce4653ef01
5 bb0ec9647212e2f83e6eb90e44a269278f003ec8fa02b745a935fda73520ff93 c8a14c17fecaa9d19467fe59b1340b7c042b2c33ac78466bb0cf47cbf5a451c5 a376e3e1b0a5ab79660fc9d69ca4e8fe3dc5218b54a8a744f177e82173239cc4 f810357d3014974cf4c621050f72105f9ba3c94681f70952b9e078ef8955388d e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb 7fa5267066db72528d25308022f136756809f8e3e233ff8c42ca8ac414400947 115c746aa28b4277be5700ad251967824860e93100e1dfaed11b643a08ddc9b9 f4eb536dd555b7c336188cddea023df9e48d5dcae63b2ad988692184ea0f3848
6 8ffd8c2e8696b62f1bf74c060c0532e95d204c52e29ee5e8d27c9bf95c29e47b bedf4a46791a938f480b88618f064e91012330d11baf12e43e4a292a16d6ac32 f58327be5658ad7d24e499994ea34f6b1f1b8547c9fafa344c3e880fa588bf4a cc6b17c5d333d8cd815e624dcc14539942ac3d20e5472818e3563b2d3ed0a837 4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a 696e1c8365306c6c6cf48a5a82e74842d203444e23296bb9efd74252c0dc9dc1 f584027cdb4012a942d13171fb1b777e0d161a390031571ebb037e2d817dd5d0 392bb77d030031cfe3f4aff4bdc446a5cad3ab88e67808817cc880903934f101
7 81c15c76064831639ddff156e68b062bbe23bacacfdb5c5394214e974abb45e9 6dac556156cad75f59c2aa225ae4d194b5e7d8126811533892357be74d278e65 203d91e406dfbca1db2286340bce0da683ec7fe33ecd75ffa3fe94d2b8e1bbcd 9e7c1558a0521941896b9c8f0a745552f8cbcda1b7a7abfcfbce849643063df0 811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c 8770d3c52f47d7e5fe25fb45949f5ccaca9b45b331ab16710874dc6cab86762c 7bf4676ee6c2f9185a03ff66d632f719a3b4703f44c1cb789e9fd7facf4139ad 3b56fef02e3a75afdd730ba0e54c5d168c5cac0936bf085c7a977051e34c1494
8 55fe468eef1bcb807022508f663216097c03b82318d07d9cacae77e5e7d89ca2 3b1c6d0e931f4cb10de72e86299b92e0c5a1e401a4e816bc5fbe791f7e543aa7 90aa42b2c2ba12c0d226fc0a1c6ac163ad639d398fe2c125faaf987327d9aa46 e1d6434106d3d000fc499efb638463f002e52668d0b3e70011fb4e1bd4a2ae42 3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9 656e5f203d645e77749bc4960ca8cd5d67a393da4be2c4645e25f8110f9a4a13 20c79577e8955218c893f670fe08727eb02bc9af1952a37dc6ecffc5c440178f a44c813b6619382abe3c3c5f3d850c09a6301b7ed23d136f3221b215589f1dad
9 5903f844d998d7423bf4a8173fc260119ed026fa371fec1d9fc27bfa8713bd30 3b1c6d0e931f4cb10de72e86299b92e0c5a1e401a4e816bc5fbe791f7e543aa7 317a7ac9638dd72f72a19e8d2e729f5d9839142e640227de76df0fce7eea0596 a673429bfd299197cf330dc04c1be53621db178d033a0e70502f8afef1598e25 6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918 5f01696e5bd999549ae13c3217dd935bd998d2043261b812df0eed82f5d3b850 6684810e493f898d104ff1d19a197c87fddeb774964288dbf97820e1518ff795 3598934aa14c4b2bd72a773e0a2ec83e76478840c52f950b8087aedb44261aba
10 a4e21b918675f8bb5333df11d2bd6bbc04b1d4fbb5e95eb61468a043af9ea740 33f346880e3d1011da3089cb7544e4657d3ce85774b2c667f906ab1e69ad4bd5 659e6f1f12d39aa66beeaa4d78ff974961c9af0d324446f3e9dff0af5f0e2071 213fa087e1ea3f595372efcef42b29e477b0d3a8f9354aef47a4b5b64d0a2b71 71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6 695c7444c69127e0ec666936413b01cf85409440c8b60b5bc19ae5989291ed46 6fa8ff8eeeda855adaae0d70032ce13d0acd4146f68524b8c67012902a3477af ab2fa9b720012476f1815103bd72ba7dc1d05fb7e5309cc4fa21dd079900747a
11 d353834a2708a9a372b4210842eec2296f3da46d8a4636201a060fe31f886d78 bedf4a46791a938f480b88618f064e91012330d11baf12e43e4a292a16d6ac32 a03921c32a31d3c4a0ea86246913c2fd88f05cb2926dc1734795994fc5283025 3414df33483a9639fddc1bb484ec32f379e7b124cafd11d22eb394bc07f2a6e1 44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a 8eaade55ca8efbf75329637d6623457614b964f8dff3a49ce509b9cdbacc5685 25bc90d64cbf1efee7352fcc241e8f61c3fd1ab6217b4456c2ca68466efd7a37 24bf8f599d7bf2e5de8da86564879969338d8c1b5235e63b3600a6965aab1a26
12 3ee710b23613439316cb4a590bfc3619c69ede301d649d254bd2875a9923615c c8a14c17fecaa9d19467fe59b1340b7c042b2c33ac78466bb0cf47cbf5a451c5 b55d7711e4ca1ccc772e16011c1386300ac62c180e237d1cb0dfe9d9c080fbfe 482a995cc8ea2d9d4023dc01f9a87fa15a0fa4a544640f148b7695e413ad6441 b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569 b71b9f7a73c9b0b15de1f1f29e4750d5afe8bdc80dbe9445b195aac8d1644ce7 80379ec2a5df1075e6e1ed6174b9e4ff4fa414f8ff05ac1f045555ff3f73d6d8 3fcd6bde73f0859a63f81c463b97a18b862fcfd424c851b0689cf5f64b0006bf
13 f5c5bd56dbfb180c4c0692ad3bc25008838e16b5eae92cd6c02813e45d51a294 33f346880e3d1011da3089cb7544e4657d3ce85774b2c667f906ab1e69ad4bd5 12bdafb56f689dcebd8a543142e91d12f8ef394d48e8f11837f12cdef440d6b1 bc21eb4ad8d9a10e419f778fdb914026fb0559ec75f665e61f50c5ab203faff4 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b 315c12a9c7c014aa0b7943fb476138eaee671a9b8f21d0aa1ecdf46e4b594cd2 5868970242b5dc4d1f5acbbbdacda4e6dee9947793ccb0d54dbd23e6e92cd2aa 881efaa32659d6b81de67d11cb2c134c31eaf515a284b633da896d50d72a80e6
14 53366294ffb94cd5a84c57f7e556e16d8f50d8fdc1156406d65283003a4cb815 6dac556156cad75f59c2aa225ae4d194b5e7d8126811533892357be74d278e65 d4b4573d6eded53100d26b4e20e5029c7a3a40c4e405eb661c21f36e092970f0 f8271bd4cd34b29c403612a71c43d03ad39cd99099a9ce854327632dd33484c9 59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a 0ca7833b2f2b13b0c5b4df8ef1fa6723953e31e4e498b28e37b8422809e2124b a4db4e7f03bf06ec5c07ac2238e118887714174b9fa7bdb7e42c888b79b2cdc9 3afb38081ebbd4303914bb076747be725205a12eb9f24a479d35fe315b126690
15 38c672200846e2cd3ab389b80cbd79e0412a7f3d336820fa71a11b7cfc86d027 6dac556156cad75f59c2aa225ae4d194b5e7d8126811533892357be74d278e65 0d116449e1f28ce91ae38c0b49b74500c493e8673da0b24c8960c7244b565b73 9388797f7ebfdfab520387a6456c4063faa35004ff0ce2f3f59a7498d3eb5edb 811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c 9043655fd17b0d90d2dee3665d82558859e8f359ceb1020220c080391812d4ff 57c3986dbcfe3843c6755199167be3c4d29f455e5f5299cb0bb91f6b16af9331 61cc53292c4ebf4cdcb123633761ab873ad3ae097cbe1b94a26579b0a707f873
16 e69a3c817453845f1390b65e758c4a2f48f00ca6f8de6f56b703be0273f55cf0 c8a14c17fecaa9d19467fe59b1340b7c042b2c33ac78466bb0cf47cbf5a451c5 a376e3e1b0a5ab79660fc9d69ca4e8fe3dc5218b54a8a744f177e82173239cc4 2d53bf8f6df78e83dbfde715a29ca622ec083bcc257aa59c355c1a3e54e4d10f d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35 5c86a78011555e58240bed15b8b81fe616e43371e0e64fad8c7e13079f23f720 c2fb581f891831a7c3e79dfa657b64036d7ae40f2a0b7e669a8fceb742a95fea c8f25d35476b3e5704daaec4f055ab7ab741b7df6e537d54ba4b2238ccfa885c
17 2bc8dbe26e93f7010d2c03f8397e5285ba2404b2de362893872e367d4b4c39ea 3b1c6d0e931f4cb10de72e86299b92e0c5a1e401a4e816bc5fbe791f7e543aa7 317a7ac9638dd72f72a19e8d2e729f5d9839142e640227de76df0fce7eea0596 a65cb3859b2ed7c83d6a7ef72a504fbe4ee04a53918b7fee122540ada7ceb690 b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9 1666646b1149f519371d91fc451133fe763ef148944c25ca4e9371c92c7e5812 790205d901a80e4ab05d89df2cbb169e0ae63d02c4252e56ddc2eb42e870045a 71fd1d2170614de86b1db12b6e529085e9dd91eab6c0b6f2f4e8ff14a0502de2
18 8c78cf9bf649953d797047bd56c2fc10f0a1185fe299bc1ab7d6a472dc76ad28 6dac556156cad75f59c2aa225ae4d194b5e7d8126811533892357be74d278e65 203d91e406dfbca1db2286340bce0da683ec7fe33ecd75ffa3fe94d2b8e1bbcd a673429bfd299197cf330dc04c1be53621db178d033a0e70502f8afef1598e25 73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049 315c12a9c7c014aa0b7943fb476138eaee671a9b8f21d0aa1ecdf46e4b594cd2 69764f73a7ed7b64857a1edf89593a07a17a987ace0d5be0cd57997efdef90c5 89ac89c63e312ffa3f0d8426ec60dd44befe77437a3ffc04ff866bf0542e4eec
