ROWIDX DESCRIPTION MANUFACTURER BRAND MATERIAL NUM1 PACKAGING NUM2 RANDOM
1 6025609889222889669 7902785322684700511 15326971353213359409 15996169214211863727 8719647946811673230 589597086019368518 11776566444316430685 13207447273084390042
2 11456156052322995995 7902785322684700511 15326971353213359409 3823610401814600787 7748076420210162913 10395263827112037776 14071207650356357544 15518979012487728493
3 12155330099489994982 4259399256950918321 11726848587403341108 6256430377213659503 8019615789267006368 6845868831288170836 2452329896781346062 15091491962357233942
4 12127526302990583639 14456919944778656209 8943389909542561579 18118642018835655518 9594822875653870441 6254506812628701829 12261213432210735986 11940599430338030935
5 13478932168014226168 14456919944778656209 11778852433904905081 17874845732827338572 16585062417031443062 9197800078177956434 1251002797844546167 17648291295977125827
6 10375603247985899055 13753793453552735119 17691027459687361917 14729893144664725709 5414021058608832454 7597040972084571244 17691267971495760553 4119588031709589967
7 9349855963379151203 7902785322684700511 2323173391346941089 11420026225495775553 9302051633395878623 9759533236367120357 8931877686998137112 4275885203756053935
8 6196467717019257728 4259399256950918321 10424217623041020608 16273268250116345856 4436414601936620559 7308883837342473847 2362020871814861336 11838979612566173738
9 6414243268897855298 4259399256950918321 3565297060394424111 11994003470352486807 7733195345837784852 6845868831288170836 7387171187152882061 3861998629213195051
10 11881089078796875963 3743413265443393553 7322412223401532070 2395810032255647577 8209575740360596120 7592070910577813472 8045961723655128410 12335264508372132982
11 15227659119575476643 13753793453552735119 11545296241851225028 3752869800854591033 4957182311335755936 10280273559478533111 2719207525109931774 2647992720974148325
12 4532609907569148819 14456919944778656209 13068732612435647692 5200137343539490205 13233097926675734316 13194314881589424305 9239027719417565301 4597449397787198874
13 17709769290459846668 3743413265443393553 1350428657074085326 13556375060060152078 7748076420210162913 3556738326125876394 6370507708880510029 9808552617089554104
14 5996088345975409877 7902785322684700511 15326971353213359409 17881291446287643292 6476623794736544246 911841739783476144 11879174749550479084 4250052280880714800
15 4091082793416057549 7902785322684700511 941644065583303913 10630880508902367147 9302051633395878623 10395263827112037776 6324065898847942723 7047098953230106444
16 16616660301836944479 14456919944778656209 11778852433904905081 3266164777519910531 15308683162207262446 6667200466857057880 14049920354979688871 14479738235362426455
